canonical_name,normalized_name,original_names,routine_uses,template_uses,historical_sets,loaded_sets,max_weight_kg,proposed_tracking_type,review_status,notes
"Abdominales bicicleta","abdominales bicicleta","Abdominales bicicleta",3,0,3,0,0,"reps_only","pending",""
"Abdominales Bisagras","abdominales bisagras","Abdominales Bisagras",1,0,3,0,0,"reps_only","pending",""
"Abdominales bisagras al medio","abdominales bisagras al medio","Abdominales bisagras al medio",1,0,3,0,0,"reps_only","pending",""
"Abdominales Crunch","abdominales crunch","Abdominales Crunch",1,0,3,0,0,"reps_only","pending",""
"Aductores en máquina","aductores en maquina","Aductores en máquina",1,0,0,0,0,"load_reps","pending",""
"Apertura en banco plano","apertura en banco plano","Apertura en banco plano",1,0,0,0,0,"load_reps","pending",""
"Bicho muerto","bicho muerto","Bicho muerto",2,0,0,0,0,"reps_only","pending",""
"Buen día","buen dia","Buen día",1,0,0,0,0,"load_reps","pending",""
"Caminata de estocadas","caminata de estocadas","Caminata de estocadas",1,0,3,0,0,"reps_only","pending",""
"Caminata de Granjero","caminata de granjero","Caminata de Granjero",2,0,6,0,0,"untracked","pending","Requiere distancia o tiempo para progreso útil."
"Caminata de isquiotibiales y sóleos de búlgara","caminata de isquiotibiales y soleos de bulgara","Caminata de isquiotibiales y sóleos de búlgara",1,0,0,0,0,"untracked","pending","Movilidad sin métrica compatible en V1."
"Caminata lateral con banda","caminata lateral con banda","Caminata lateral con banda",1,0,3,0,0,"reps_only","pending",""
"Caminata lateral con bandas","caminata lateral con bandas","Caminata lateral con bandas",1,0,3,0,0,"reps_only","pending","Revisar si debe unificarse con Caminata lateral con banda."
"Colgarse de la barra y llevar piernas arriba","colgarse de la barra y llevar piernas arriba","Colgarse de la barra y llevar piernas arriba",1,0,3,0,0,"reps_only","pending",""
"Cruce de Polea","cruce de polea","Cruce de Polea",1,0,0,0,0,"load_reps","pending",""
"Cuadriceps a 1 pierna","cuadriceps a 1 pierna","Cuadriceps a 1 pierna",1,0,4,4,30,"load_reps","pending",""
"Curl de bíceps en banco Scott","curl de biceps en banco scott","Curl de bíceps en banco Scott",1,0,0,0,0,"load_reps","pending",""
"Curl Nordico invertido","curl nordico invertido","Curl Nordico invertido",1,0,0,0,0,"reps_only","pending",""
"Dominadas","dominadas","Dominadas",1,0,3,0,0,"reps_only","pending",""
"E","e","E",1,0,0,0,0,"untracked","pending","Nombre incompleto; corregir o archivar."
"Ejercicio que quieras de miembro superior","ejercicio que quieras de miembro superior","Ejercicio que quieras de miembro superior",1,0,0,0,0,"untracked","pending","No identifica un ejercicio conceptual único."
"Elevación de cadera isométrica","elevacion de cadera isometrica","Elevación de cadera isométrica",1,0,0,0,0,"untracked","pending","Requiere tiempo para progreso útil."
"Estocada isométrica","estocada isometrica","Estocada isométrica",1,0,0,0,0,"untracked","pending","Requiere tiempo para progreso útil."
"Estocadas","estocadas","Estocadas",1,0,3,3,20,"load_reps","pending",""
"Estocadas caminando","estocadas caminando","Estocadas caminando",1,0,0,0,0,"load_reps","pending",""
"Estocadas con esa barra  a pierna fija","estocadas con esa barra a pierna fija","Estocadas con esa barra  a pierna fija",1,0,3,0,0,"load_reps","pending","Revisar nombre canónico."
"Estocadas fijas","estocadas fijas","Estocadas fijas",1,0,0,0,0,"load_reps","pending",""
"Extensión de cuádriceps en máquina","extension de cuadriceps en maquina","Extensión de cuádriceps en máquina",1,0,0,0,0,"load_reps","pending",""
"Extensión de tríceps en polea alta","extension de triceps en polea alta","Extensión de tríceps en polea alta",1,0,0,0,0,"load_reps","pending",""
"Fleo extensiones de brazo","fleo extensiones de brazo","Fleo extensiones de brazo",1,0,3,0,0,"reps_only","pending","Revisar nombre y tipo."
"Flexiones de brazos","flexiones de brazos","Flexiones de brazos",2,0,0,0,0,"reps_only","pending",""
"Fondos","fondos","Fondos",1,0,0,0,0,"reps_only","pending",""
"Frontales","frontales","Frontales",1,0,0,0,0,"load_reps","pending","Revisar nombre canónico."
"Gemelos","gemelos","Gemelos",1,0,3,3,80,"load_reps","pending",""
"Gemelos en prensa a 2 piernas","gemelos en prensa a 2 piernas","Gemelos en prensa a 2 piernas",1,0,3,3,60,"load_reps","pending",""
"Gemelos parado","gemelos parado","Gemelos parado",1,0,0,0,0,"load_reps","pending",""
"Gluteo Medio Con alcance arriba de un banco","gluteo medio con alcance arriba de un banco","Gluteo Medio Con alcance arriba de un banco",1,0,0,0,0,"reps_only","pending",""
"Hack 45","hack 45","Hack 45",1,0,0,0,0,"load_reps","pending",""
"Hip thrust","hip thrust","Hip thrust",2,0,3,3,80,"load_reps","pending",""
"Jalón al pecho","jalon al pecho","Jalón al pecho",1,0,0,0,0,"load_reps","pending",""
"Laterales","laterales","Laterales",1,0,0,0,0,"load_reps","pending","Revisar nombre canónico."
"Movilidad de cadera","movilidad de cadera","Movilidad de cadera",2,0,0,0,0,"untracked","pending",""
"Movilidad de hombros","movilidad de hombros","Movilidad de hombros",3,0,0,0,0,"untracked","pending",""
"Movilidad de tobillo","movilidad de tobillo","Movilidad de tobillo",2,0,0,0,0,"untracked","pending",""
"Movilidad de tobillo + cadera","movilidad de tobillo + cadera","Movilidad de tobillo + cadera",1,0,0,0,0,"untracked","pending",""
"Movilidad de tórax","movilidad de torax","Movilidad de tórax",2,0,0,0,0,"untracked","pending",""
"papapapa","papapapa","papapapa",1,0,0,0,0,"untracked","pending","Nombre de prueba; corregir o archivar."
"Pecho Inclinado","pecho inclinado","Pecho Inclinado",1,0,0,0,0,"load_reps","pending","Revisar nombre canónico."
"Pecho Plano","pecho plano","Pecho Plano",1,0,0,0,0,"load_reps","pending","Revisar nombre canónico."
"Peck Deck","peck deck","Peck Deck",1,0,0,0,0,"load_reps","pending",""
"Pesa a la Pera","pesa a la pera","Pesa a la Pera",1,0,0,0,0,"load_reps","pending","Revisar nombre canónico."
